[14:10:36] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 21.2
[14:10:36] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 21.1
[14:10:37] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 21.2
[14:10:37] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 21.2
[14:10:37] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 10.0/0.0 (S: 10.0/0.0) | Tav: 21.2
[14:10:37] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 21.2
[14:10:59] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.2
[14:11:00] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 16.1
[14:11:00] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 16.1
[14:11:00] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 16.1
[14:11:01] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 16.1
[14:11:01] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 16.0
[14:11:08] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 20.5
[14:11:08] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 50.0/0.0 (S: 50.0/0.0) | Tav: 19.8
[14:11:08] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 30.0/0.0 (S: 30.0/0.0) | Tav: 19.0
[14:11:09] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 10.0/0.0 (S: 10.0/0.0) | Tav: 18.6
[14:11:09] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 18.6
[14:12:53] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.5
[14:12:53] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.5
[14:12:54] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[14:12:55] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-2.6) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 0.6
[14:12:56] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 1.7
[14:12:56] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 2.0
[14:13:30] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10.8
[21:13:45] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 6.6
[21:13:45] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 6.1
[20:14:26] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 8.6
[20:14:27] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 9.3
[20:14:31] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 9.4
[20:14:31] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 9.5
[20:14:31] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 9.5
[20:14:31] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 9.5
[20:14:31] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 9.5
[20:14:39] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 4.9
[20:14:40] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 89.0/0.0 (S: 89.0/0.0) | Tav: 5.4
[20:14:40] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 69.0/0.0 (S: 69.0/0.0) | Tav: 5.6
[20:14:40] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 49.0/0.0 (S: 49.0/0.0) | Tav: 5.6
[20:14:40] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 5.6
[20:14:48] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 74.0/0.0 (S: 74.0/0.0) | Tav: 13.1
[20:14:48] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 54.0/0.0 (S: 54.0/0.0) | Tav: 13.2
[20:14:48] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 34.0/0.0 (S: 34.0/0.0) | Tav: 12.9
[20:14:48] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 12.9
[20:15:13] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 41.9
[20:15:56] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 41.1
[20:16:13] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.2
[20:16:14] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 1.2
[20:16:14] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 1.2
[20:16:14] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 1.2
[20:16:14] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.4
[20:16:14] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 1.4
[20:16:14] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 1.5
[20:16:33] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 5.2
[20:16:40] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.1
[20:16:40] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 16.8
[20:16:40] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 16.4
[20:16:41] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 15.7
[20:16:52] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 136.0/0.0 (S: 136.0/0.0) | Tav: 4.3
[20:16:53] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 116.0/0.0 (S: 116.0/0.0) | Tav: 3.2
[20:16:53] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 3.2
[20:17:06] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 36.3
[18:17:21] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 63.4
[20:17:34] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 60.8
[20:17:34] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 60.6
[20:17:52] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 24.0
[20:18:09] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[20:18:14] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 1.0
